time,input_voltage,el_power
818.84,3.445,1253.79031401101
819.84,3.445,1349.83685404657
820.84,3.445,1262.0338129424
821.84,3.445,1370.20581898593
822.84,3.445,1254.78248973483
823.84,3.445,1366.04728465111
824.84,3.445,1262.20545732868
825.84,3.445,1353.93143053748
826.84,3.445,1259.16680593112
827.84,3.445,1375.91515142045
828.84,3.445,1253.94668688655
829.84,3.445,1363.11627529072
830.84,3.445,1250.49042114341
831.84,3.445,1355.97784190159
832.84,3.445,1266.81653628007
833.84,3.445,1354.94495568346
834.84,3.445,1251.70098299546
835.84,3.445,1361.21961951165
836.84,3.445,1245.29063072893
837.84,3.445,1357.1039302203
838.84,3.445,1250.66780151127
839.84,3.445,1377.65831841756
840.84,3.445,1254.74002940485
841.84,3.445,1382.34475094375
842.84,3.445,1259.65683471388
843.84,3.445,1384.03593405555
844.84,3.445,1240.87213129361
845.84,3.445,1376.89337358201
846.84,3.445,1260.68902673045
847.84,3.445,1369.79067459314
848.84,3.445,1256.11457318047
849.84,3.445,1367.03620808588
850.84,3.445,1260.43278637223
851.84,3.445,1369.99467784357
852.84,3.445,1259.7241392479
853.84,3.445,1385.36846417294
854.84,3.445,1253.02080437887
855.84,3.445,1359.57130785298
856.84,3.445,1245.50194394272
857.84,3.445,1356.87597851701
858.84,3.445,1238.58401314048
859.84,3.445,1340.2995376358
860.84,3.445,1252.17427358722
861.84,3.445,1351.67099476537
862.84,3.445,1247.96381886484
863.84,3.445,1372.6079245999
864.84,3.445,1239.10521237183
865.84,3.445,1355.82646134591
866.84,3.445,1242.58277604251
867.84,3.445,1342.63954994017
868.84,3.445,1248.91151307293
869.84,3.445,1361.54682292433
870.84,3.445,1254.91014330699
871.84,3.445,1362.71429734191
872.84,3.445,1242.9793586715
873.84,3.445,1368.12813099229
874.84,3.445,1254.08078423188
875.84,3.445,1356.16549492996
876.84,3.445,1247.23957328146
877.84,3.445,1364.64156861842
878.84,3.445,1250.90411022534
879.84,3.445,1358.37163236213
880.84,3.445,1261.27820242979
881.84,3.445,1357.27136095196
882.84,3.445,1239.70423286869
883.84,3.445,1378.63748725215
884.84,3.445,1229.00436248765
885.84,3.445,1347.26818152141
886.84,3.445,1255.09998916013
887.84,3.445,1353.27099653661
888.84,3.445,1260.76054664191
889.84,3.445,1354.68128965554
890.84,3.445,1258.88190951653
891.84,3.445,1375.7998931346
892.84,3.445,1258.20108900677
893.84,3.445,1376.30473266295
894.84,3.445,1251.43124975119
895.84,3.445,1368.63547803234
896.84,3.445,1243.26983178309
897.84,3.445,1356.75535179495
898.84,3.445,1255.08676576275
899.84,3.445,1371.98960920091
900.84,3.445,1242.23222231474
901.84,3.445,1360.24536351309
902.84,3.445,1242.38958525262
903.84,3.445,1363.34324045266
904.84,3.445,1251.62299867874
905.84,3.445,1390.35085858372
906.84,3.445,1236.09967865787
907.84,3.445,1364.52368120364
908.84,3.445,1257.96867870968
909.84,3.445,1357.61535204212
910.84,3.445,1253.70037585352
911.84,3.445,1359.90478156608
912.84,3.445,1250.41533631744
913.84,3.445,1380.04708749946
914.84,3.445,1239.37437085165
915.84,3.445,1380.37995359805
916.84,3.445,1263.04959783949
917.84,3.445,1376.30623784847
918.84,3.445,1266.86408321891
919.84,3.445,1371.90694932288
920.84,3.445,1256.66400513069
921.84,3.445,1370.75605160393
922.84,3.445,1270.1876556534
923.84,3.445,1373.58243506178
924.84,3.445,1259.47278715251
925.84,3.445,1364.63395699208
926.84,3.445,1266.52221713996
927.84,3.445,1384.63489671541
928.84,3.445,1280.96514219393
929.84,3.445,1364.46512452138
930.84,3.445,1249.30241867142
931.84,3.445,1365.57283777013
932.84,3.445,1256.43760792118
933.84,3.445,1370.95158665106
934.84,3.445,1258.2735715983
935.84,3.445,1360.34632085175
936.84,3.445,1251.02354485666
937.84,3.445,1361.48610374389
938.84,3.445,1247.94323766127
939.84,3.445,1352.3975129826
940.84,3.445,1244.66923853741
941.84,3.445,1358.09684901208
942.84,3.445,1249.95011009738
