time,input_voltage,el_power
811.04,3,1217.41310991914
812.04,3,1140.09001316541
813.06,3,1223.75198667755
814.1,3,1124.81010960077
815.12,3,1207.67154280668
816.14,3,1136.925265935
817.14,3,1215.72230088151
818.2,3,1125.81753313296
819.22,3,1223.43351607451
820.24,3,1129.08835682571
821.32,3,1219.36896846842
822.34,3,1125.08533354239
823.36,3,1216.59497896549
824.36,3,1136.33659905801
825.36,3,1218.55101201838
826.36,3,1135.94306525839
827.36,3,1211.99124137661
828.36,3,1123.76402805566
829.36,3,1218.37923556839
830.4,3,1135.53976468185
831.42,3,1217.93231836206
832.44,3,1138.25965865968
833.44,3,1216.3148749751
834.44,3,1122.10031432837
835.48,3,1206.77589193181
836.5,3,1124.50231884414
837.5,3,1205.10840035945
838.54,3,1121.72844297097
839.56,3,1209.86839524791
840.56,3,1136.00744964179
841.56,3,1214.16710933642
842.56,3,1126.07484631695
843.56,3,1204.4243136326
844.56,3,1131.37251518427
845.56,3,1212.64971820925
846.58,3,1125.66167645954
847.6,3,1212.60174239495
848.6,3,1133.14889305852
849.64,3,1215.24005988396
850.66,3,1122.01403393544
851.66,3,1216.29783436881
852.72,3,1120.99604720802
853.74,3,1213.24712789388
854.74,3,1125.57877325484
855.76,3,1206.65769209698
856.76,3,1124.70152956484
857.76,3,1216.68952836368
858.76,3,1130.16142344109
859.76,3,1213.70212308137
860.76,3,1140.85010408168
861.76,3,1224.47337933509
862.76,3,1129.87289726648
863.78,3,1227.75879824866
864.8,3,1134.81555258463
865.8,3,1222.69346543788
866.86,3,1144.87222748486
867.92,3,1215.68303119168
868.96,3,1135.52815212562
869.96,3,1224.7922219273
871,3,1140.44312720526
872,3,1231.29739526659
873,3,1149.45710726439
874,3,1226.14787242933
875,3,1147.55441689461
876,3,1232.75005772464
877.02,3,1155.73889389131
878.02,3,1227.91697650847
879.02,3,1151.67640565453
880.02,3,1229.06378931343
881.02,3,1147.11963334613
882.04,3,1240.87835628894
883.1,3,1143.21056494102
884.14,3,1235.30272960246
885.2,3,1161.69838871996
886.3,3,1238.83003416332
887.36,3,1146.26829607416
888.4,3,1214.39570391263
889.46,3,1142.80383826157
890.5,3,1221.40636523289
891.5,3,1140.26005922478
892.5,3,1221.47336554908
893.5,3,1143.25336933084
894.5,3,1226.43980952113
895.5,3,1136.13867992438
896.52,3,1226.95526302284
897.54,3,1151.57788441943
898.58,3,1233.66772682223
899.6,3,1131.7614061162
900.6,3,1226.28156409362
901.66,3,1133.42654371728
902.66,3,1229.32069614426
903.68,3,1143.57862788416
904.72,3,1224.58246016433
905.74,3,1138.74327781813
906.76,3,1216.30136556907
907.78,3,1144.55327549466
908.78,3,1228.62009840248
909.78,3,1150.30711311593
910.78,3,1222.09103830012
911.78,3,1154.76830544035
912.78,3,1229.60122398864
913.78,3,1151.72180757186
914.8,3,1219.28942441701
915.86,3,1135.05304636987
916.88,3,1220.61491883694
917.9,3,1133.03389289693
918.94,3,1220.50151852086
920.02,3,1143.17782625388
921.12,3,1237.76502116836
922.14,3,1153.56408062893
923.16,3,1225.69023043246
924.22,3,1151.19805973949
925.22,3,1233.29137390181
926.22,3,1142.73742463595
927.22,3,1235.74759208199
928.22,3,1151.16998379557
929.22,3,1230.37107308635
930.22,3,1137.69336710191
931.26,3,1231.125890773
932.26,3,1145.72749917493
933.3,3,1226.06421825477
934.36,3,1144.18431003085
935.38,3,1231.00965385963
936.38,3,1144.68576870545
937.42,3,1227.54560018995
938.42,3,1146.26555065021
939.46,3,1231.54835050326
940.46,3,1140.69944427689
941.48,3,1231.78831113978
942.48,3,1148.70733757915
943.48,3,1228.34168852306
944.48,3,1151.57007104045
945.48,3,1226.34756401953
946.48,3,1151.54801896603
947.5,3,1237.43343760748
948.5,3,1146.53888729573
949.52,3,1240.28620882884
950.54,3,1146.80097452529
951.58,3,1237.53675820926
952.64,3,1164.1619221279
953.66,3,1241.99902465767
954.7,3,1142.21067950459
955.76,3,1240.54392328387
956.76,3,1149.99670126184
957.76,3,1232.56727288307
958.78,3,1140.68917084074
959.78,3,1227.77874521148
960.78,3,1136.85495654178
961.8,3,1226.99400901333
962.8,3,1145.7319159095
963.8,3,1231.30050797906
964.82,3,1133.82372637722
965.84,3,1228.56606823003
966.9,3,1140.36679123239
967.96,3,1228.3688757169
969,3,1142.26277447636
970.02,3,1231.1171853855
971.04,3,1134.61254665983
972.1,3,1225.5220247185
973.16,3,1132.84186740701
974.16,3,1229.20927829216
975.24,3,1143.30356824497
976.26,3,1223.88330797575
977.26,3,1143.61126924458
978.26,3,1226.74515823912
979.26,3,1151.55126299904
980.26,3,1226.79956455677
981.28,3,1141.30882695228
982.32,3,1215.97579119973
983.36,3,1128.61887212006
984.42,3,1222.08128394136
985.42,3,1135.77653898272
986.46,3,1231.50330435394
987.5,3,1146.64641741293
988.56,3,1226.22941435977
989.56,3,1142.67225839015
990.58,3,1222.79749848314
991.58,3,1142.11126313901
992.58,3,1230.18323475887
993.58,3,1143.52922654916
994.58,3,1230.4293017773
995.58,3,1147.42623983054
996.58,3,1236.1108894472
997.6,3,1151.86696266536
998.6,3,1236.23508675539
999.66,3,1144.63820072472
1000.74,3,1243.18004238203
1001.74,3,1154.58291316562
1002.8,3,1236.25369307388
1003.86,3,1150.60761064463
1004.88,3,1229.00584294278
1005.92,3,1161.05174480631
1006.94,3,1243.82304423472
1008,3,1150.39283193369
1009.02,3,1239.61945258983
1010.02,3,1156.98652345765
1011.02,3,1230.7185799248
1012.02,3,1155.47937424479
1013.02,3,1227.64179240415
1014.04,3,1156.48849575569
1015.1,3,1240.75258811314
1016.12,3,1156.32355697061
1017.16,3,1234.15532974054
1018.18,3,1145.89868504399
1019.2,3,1223.9416635237
1020.2,3,1138.67643449366
1021.24,3,1232.83605389108
1022.24,3,1154.39004043894
1023.32,3,1238.5537813453
1024.36,3,1145.82963909872
1025.4,3,1235.42057945711
1026.4,3,1146.93042959941
1027.4,3,1230.33222565405
1028.4,3,1147.73842612289
1029.4,3,1225.21394867789
1030.42,3,1148.17176123904
1031.42,3,1240.2693474105
1032.5,3,1150.73401470818
1033.52,3,1237.25551582236
1034.54,3,1150.49576327273
1035.56,3,1232.29725288903
1036.62,3,1159.39870630451
1037.64,3,1232.67200968897
1038.68,3,1139.27272221528
1039.7,3,1232.33866127045
1040.74,3,1141.884602488
1041.8,3,1237.04557689626
1042.84,3,1140.24825979035
1043.88,3,1231.3408819582
1044.88,3,1143.44996378326
1045.88,3,1228.78771680592
1046.88,3,1139.38471819706
1047.88,3,1228.67807058096
1048.88,3,1139.78696223202
1049.92,3,1225.14206146483
1050.92,3,1131.43861165397
1052,3,1207.09783878241
1053.04,3,1129.62737753295
1054.12,3,1221.83937448403
1055.14,3,1133.22777416782
1056.16,3,1222.57734503176
1057.18,3,1139.23393761827
1058.22,3,1226.43076444117
1059.28,3,1154.8004797231
1060.3,3,1224.1006941204
